AGE,INCOME,INCPER,SPENDING
55.5,2500,22000,63.2874994
88.6,2916.666667,35000,168.802496
88.5,1833.333333,5500,5.5
63.5,2700,64532,0.5020765
88.3,2887.75,11551,255.6783376
28.5,2083.333333,12500,143.3125076
65,2916.666667,35000,56.7374992
58.5,1835.916667,22031,52.2558302
30,2916.666667,8750,60
27.2,2916.666667,8750,4.6666665
88.1,2083.333333,25000,349.9466615
88,2200,32400,13.1049379
21.333334,1516.666667,18200,90.3491661
29,2208.333333,14500,135.0989789
88,2500,15000,118.7666692
87.8333359,1250,41000,48.5222554
86.8333359,2200,32700,387.9817635
84.1666641,629,7916,2.4897254
84.0833359,2750,16500,752.3100451
84.0833359,1378,16536,63.8983318
83.5,2000,28725,11.6971275
83.4166641,2025,4860,18.1666675
82.75,3333.333333,10000,236.8449916
82.5833359,1625,19500,1051.877521
81.5833359,1750,24200,208.4662225
81.0833359,5083.333333,15250,146.1300047
80.4166641,833.3333333,16000,43.8640639
79.5,1000,30950,6.4878836
79.3333359,2083.333333,50000,119.0525014
79.3333359,1143,13716,4.6666669
77.5,2083.333333,37000,688.751104
76.3333359,1418.916667,8513.5,4.6666668
74.6666641,1041.666667,72500,8.564942
74.1666641,1250,28065,21.1117044
73.75,1250.333333,18760,31.8581723
73.4166641,1666.666667,48750,5.8844441
73.0833359,2604.166667,43994,46.5197227
73,1208.333333,5660,74.4973787
72.9166641,3166.666667,53000,290.3206063
71.9166641,1770.833333,21250,58.6583298
71.8333359,4089.833333,38505,255.6578531
71.6666641,2958.333333,19324.33398,36.8672856
71.25,1250,100000,29.3196249
70.9166641,3530,28680,116.3078418
70.6666641,2833.333333,34000,488.8975148
70.5,3333.333333,40000,157.9366624
70,3333.333333,40000,125.2733295
69.9166641,1689.583333,12762.5,4.368756
69.5833359,2166.666667,26000,39.3291687
69.1666641,2083.333333,75000,20.2500009
69.0833359,1250,7500,5.5
69,1458.333333,22780,22.9754706
68.8333359,4000,48000,213.3716643
68.6666641,3333.333333,50000,19.0980003
68.6666641,2166.666667,17500,167.3805776
68.3333359,2550,19350,83.2150027
68.3333359,833.3333333,18125,69.8087364
67.9166641,1666.666667,60000,96.1930553
67.8333359,2083.333333,25000,68.5750041
67.75,2500,35000,471.7221856
67.5,7083.333333,42500,822.7991406
67.3333359,1354.166667,11625,0.6989247
67.1666641,2916.666667,22346,6.2651034
67.1666641,1250,46250,53.5951369
66.9166641,5708.333333,34250,104.6466706
66.8333359,3000,22000,25.75
66.5833359,7500,50000,7.1999998
66.5,1770.833333,7083.333496,1
66.4166641,2666.666667,27920,47.0797519
66.3333359,1500,23000,75.6326113
66.3333359,1333.333333,36955,208.8763913
66,3012.5,18075,38.9999999
66,833.3333333,36352,31.694953
65.9166641,2083.333333,14750,101.1694937
65.75,4085.666667,28201.5,101.0866202
65.75,3750,60000,321.0481256
65.6666641,1083.333333,22200,51.9585252
65.5,600,8832.666992,42.7162036
65.4166641,2500,48750,9.0256409
65.4166641,1685.833333,23730,403.2203525
65.4166641,1562.5,22750,181.1277471
65.4166641,1385.416667,26500,112.2161285
65.3333359,2666.666667,36000,443.5778062
65.3333359,500,46890,27.274793
65.1666641,5000,30000,242.0141548
65,2916.666667,35000,56.7374992
65,1666.666667,28000,6.4285713
64.75,416.6666667,29000,33.984771
64.5833359,7166.666667,86000,110.8466679
64.5833359,5937.5,35625,150.4500024
64.5833359,2083.333333,60000,182.9382032
64.5,1000,7500,15.3333331
64.4166641,541.6666667,15750,40.7973031
64.3333359,1666.666667,25000,199.2666721
64.25,1833.333333,22000,344.3724861
64.25,480,26180,1.2100841
64.1666641,2350,29100,71.6959983
64.0833359,5416.666667,45666.66797,4810.309038
64.0833359,3500,28500,315.8983402
64.0833359,1666.666667,13100,292.8632249
64,5416.666667,32500,581.8316837
64,3250,14666.66699,90.1128966
64,3125,21250,332.6610196
64,1062.5,10125,77.3489503
63.9166679,2083.333333,12500,156.1849999
63.9166679,1666.666667,32500,29.6538447
63.9166679,1442.5,14042,0.6163652
63.75,5000,60000,9.1666664
63.6666679,1583.333333,22000,43.3315161
63.5833321,6250,62500,0.6
63.5833321,2500,33000,44.7340915
63.5,5208.333333,62500,424.6000123
63.5,2916.666667,17500,40.029999
63.5,2700,64532,0.5020765
63.5,2500,36684,39.1410384
63.5,2083.333333,21000,11.8134922
63.5,1333.333333,9000,42.540739
63.4166679,3666.666667,23250,34.2592824
63.4166679,2620,40740,41.9302893
63.3333321,3137.166667,34220.5,2.5669019
63.3333321,3000,42000,13.4999994
63.3333321,2000,24000,321.6741681
63.25,7333.333333,51000,85.6957491
63.25,3458.333333,47044,8.9685541
63.1666679,3750,27500,76.8068153
63.1666679,3744,22464,21.3849999
63.0833321,1916.666667,23000,21.8108331
63,7333.333333,44000,37.0183339
63,2250,27000,442.9933392
62.9166679,4583.333333,27500,8.075
62.6666679,5250,36500,206.1624667
62.6666679,2416.666667,9666.666992,191.024997
62.5833321,4327.833333,25967,21.8333327
62.5833321,1000,24000,77.0566687
62.5833321,666.6666667,8682.5,102.9246549
62.5,3333.333333,30000,29.8077768
62.5,1545.416667,26545,160.329768
62.0833321,3833.333333,23000,765.3183341
62.0833321,2458.333333,29750,34.0807635
62.0833321,1666.666667,20000,485.629191
62,3333.333333,32500,98.3676935
62,1365,16380,64.1574996
62,1125,19500,3.8076922
61.9166679,3750,22500,10.4166669
61.9166679,2604.166667,31250,45.2399981
61.9166679,2300,64800,27.4342426
61.9166679,1625,19500,1
61.9166679,1386.666667,16640,68.7075003
61.75,2166.666667,26000,583.7675432
61.5833321,3125,37500,1
61.5,1475,17700,26.0641648
61.4166679,7083.333333,47500,417.6094662
61.4166679,2609.833333,15659,194.7241434
61.4166679,2375,28500,1268.96172
61.3333321,3233.333333,19400,54.0116675
61.25,4066.666667,24400,61.1816678
61.25,3750,23100,39.9050326
61.25,1666.666667,25000,183.3666613
61.1666679,4583.333333,55000,56.6558311
