date,revenue,type,subtype
2007-01-01,5585391.37,Net Toll Revenue,NA
2007-01-01,-152312.18,Volume Discount,NA
2007-01-01,948672.15,Commuter Revenue,NA
2007-02-01,5348570.970000001,Net Toll Revenue,NA
2007-02-01,-132301.23,Volume Discount,NA
2007-02-01,69840.62000000001,Commuter Revenue,NA
2007-03-01,6031151.74,Net Toll Revenue,NA
2007-03-01,-153285.18,Volume Discount,NA
2007-03-01,30581.649999999998,Commuter Revenue,NA
2007-04-01,6017278.04,Net Toll Revenue,NA
2007-04-01,-135100.03,Volume Discount,NA
2007-04-01,910051.69,Commuter Revenue,NA
2007-05-01,7124931.6,Net Toll Revenue,NA
2007-05-01,-151063.64,Volume Discount,NA
2007-05-01,89757.5,Commuter Revenue,NA
2007-06-01,7505550.07,Net Toll Revenue,NA
2007-06-01,-142469.21000000002,Volume Discount,NA
2007-06-01,14955,Commuter Revenue,NA
2007-07-01,8656612.4,Net Toll Revenue,NA
2007-07-01,-184492.76,Volume Discount,NA
2007-07-01,912937.4600000001,Commuter Revenue,NA
2007-08-01,9282030.870000001,Net Toll Revenue,NA
2007-08-01,-157411.63,Volume Discount,NA
2007-08-01,87806.6,Commuter Revenue,NA
2007-09-01,7327143.76,Net Toll Revenue,NA
2007-09-01,-156117.44999999998,Volume Discount,NA
2007-09-01,26437.9,Commuter Revenue,NA
2007-10-01,7215918.819999999,Net Toll Revenue,NA
2007-10-01,-182216.41,Volume Discount,NA
2007-10-01,917290.26,Commuter Revenue,NA
2007-11-01,6424181.6,Net Toll Revenue,NA
2007-11-01,-152200.53,Volume Discount,NA
2007-11-01,77158.1,Commuter Revenue,NA
2007-12-01,5779192.18,Net Toll Revenue,NA
2007-12-01,-167902.54,Volume Discount,NA
2007-12-01,15309.25,Commuter Revenue,NA
2008-01-01,5628871.44,Net Toll Revenue,NA
2008-01-01,-155948.67,Volume Discount,NA
2008-01-01,955186.26,Commuter Revenue,NA
2008-02-01,5356831.42,Net Toll Revenue,NA
2008-02-01,-138575.52,Volume Discount,NA
2008-02-01,71782.35,Commuter Revenue,NA
2008-03-01,5885568.92,Net Toll Revenue,NA
2008-03-01,-150392.8,Volume Discount,NA
2008-03-01,27534.649999999998,Commuter Revenue,NA
2008-04-01,6178643.149999999,Net Toll Revenue,NA
2008-04-01,-147898.64,Volume Discount,NA
2008-04-01,900704.54,Commuter Revenue,NA
2008-05-01,6872633.28,Net Toll Revenue,NA
2008-05-01,-152706.21000000002,Volume Discount,NA
2008-05-01,91225.85,Commuter Revenue,NA
2008-06-01,7172495.859999999,Net Toll Revenue,NA
2008-06-01,-158082.18,Volume Discount,NA
2008-06-01,27116.55,Commuter Revenue,NA
2008-07-01,8575645.8,Net Toll Revenue,NA
2008-07-01,-163575.2,Volume Discount,NA
2008-07-01,892570.49,Commuter Revenue,NA
2008-08-01,8715354.49,Net Toll Revenue,NA
2008-08-01,-156540.6,Volume Discount,NA
2008-08-01,93437.9,Commuter Revenue,NA
2008-09-01,6703167.45,Net Toll Revenue,NA
2008-09-01,-177875.58,Volume Discount,NA
2008-09-01,27315.149999999998,Commuter Revenue,NA
2008-10-01,6813856.319999999,Net Toll Revenue,NA
2008-10-01,-162130.91999999998,Volume Discount,NA
2008-10-01,899414.74,Commuter Revenue,NA
2008-11-01,5781048.609999999,Net Toll Revenue,NA
2008-11-01,-142420.63,Volume Discount,NA
2008-11-01,78283.7,Commuter Revenue,NA
2008-12-01,5571741.31,Net Toll Revenue,NA
2008-12-01,-158545.99,Volume Discount,NA
2008-12-01,20615.35,Commuter Revenue,NA
2009-01-01,5131289.76,Net Toll Revenue,NA
2009-01-01,-132487.65,Volume Discount,NA
2009-01-01,1117704.91,Commuter Revenue,NA
2009-02-01,6309344.21,Net Toll Revenue,NA
2009-02-01,-128445.53,Volume Discount,NA
2009-02-01,173042.8,Commuter Revenue,NA
2009-03-01,7062932.41,Net Toll Revenue,NA
2009-03-01,-145496.88999999998,Volume Discount,NA
2009-03-01,28391.55,Commuter Revenue,NA
2009-04-01,7589368.74,Net Toll Revenue,NA
2009-04-01,-143549.55,Volume Discount,NA
2009-04-01,1134319.92,Commuter Revenue,NA
2009-05-01,8437392.99,Net Toll Revenue,NA
2009-05-01,-154244.47,Volume Discount,NA
2009-05-01,131291,Commuter Revenue,NA
2009-06-01,8937442.870000001,Net Toll Revenue,NA
2009-06-01,-185694.66,Volume Discount,NA
2009-06-01,34960.7,Commuter Revenue,NA
2009-07-01,10876238.75,Net Toll Revenue,NA
2009-07-01,-180482.03,Volume Discount,NA
2009-07-01,1130012.8800000001,Commuter Revenue,NA
2009-08-01,10962799.28,Net Toll Revenue,NA
2009-08-01,-201021.21000000002,Volume Discount,NA
2009-08-01,124361.65000000001,Commuter Revenue,NA
2009-09-01,8941342.5,Net Toll Revenue,NA
2009-09-01,-186550.49,Volume Discount,NA
2009-09-01,76824.86,Commuter Revenue,NA
2009-10-01,8570463.16,Net Toll Revenue,NA
2009-10-01,-168262.87999999998,Volume Discount,NA
2009-10-01,1097742.24,Commuter Revenue,NA
2009-11-01,7398155.85,Net Toll Revenue,NA
2009-11-01,-166005.69,Volume Discount,NA
2009-11-01,126313.54,Commuter Revenue,NA
2009-12-01,7230238.02,Net Toll Revenue,NA
2009-12-01,-194812.96,Volume Discount,NA
2009-12-01,31262.8,Commuter Revenue,NA
2010-01-01,6425150.95,Net Toll Revenue,NA
2010-01-01,-167442.63,Volume Discount,NA
2010-01-01,1148069.23,Commuter Revenue,NA
2010-02-01,6271721.17,Net Toll Revenue,NA
2010-02-01,-148328.99,Volume Discount,NA
2010-02-01,134583.1,Commuter Revenue,NA
2010-03-01,7338312.859999999,Net Toll Revenue,NA
2010-03-01,-160912.68,Volume Discount,NA
2010-03-01,45297.02,Commuter Revenue,NA
2010-04-01,7728729.13,Net Toll Revenue,NA
2010-04-01,-139305.86,Volume Discount,NA
2010-04-01,1114386.26,Commuter Revenue,NA
2010-05-01,8464183.709999999,Net Toll Revenue,NA
2010-05-01,-151304.29,Volume Discount,NA
2010-05-01,123353.3,Commuter Revenue,NA
2010-06-01,8885951.43,Net Toll Revenue,NA
2010-06-01,-164056.97999999998,Volume Discount,NA
2010-06-01,34696.28,Commuter Revenue,NA
2010-07-01,10844943.61,Net Toll Revenue,NA
2010-07-01,-157022.3,Volume Discount,NA
2010-07-01,1107039.3,Commuter Revenue,NA
2010-08-01,11147861.860000001,Net Toll Revenue,NA
2010-08-01,-159058.27000000002,Volume Discount,NA
2010-08-01,141972.05,Commuter Revenue,NA
