date,transactions,vehicle,,,,
1/1/07,"3,907,712",Passenger,,,,
1/1/07,"615,498",Commercial,,,,
1/1/07,"770,939",Commuter,,,,
1/1/07,"34,592",Non Revenue,,,,
2/1/07,"3,770,357",Passenger,,,,
2/1/07,"552,559",Commercial,,,,
2/1/07,"668,249",Commuter,,,,
2/1/07,"31,839",Non Revenue,,,,
3/1/07,"4,222,639",Passenger,,,,
3/1/07,"636,455",Commercial,,,,
3/1/07,"790,578",Commuter,,,,
3/1/07,"34,801",Non Revenue,,,,
4/1/07,"4,252,406",Passenger,,,,
4/1/07,"628,034",Commercial,,,,
4/1/07,"737,552",Commuter,,,,
4/1/07,"31,610",Non Revenue,,,,
5/1/07,"4,987,543",Passenger,,,,
5/1/07,"734,823",Commercial,,,,
5/1/07,"792,062",Commuter,,,,
5/1/07,"27,697",Non Revenue,,,,
6/1/07,"5,406,251",Passenger,,,,
6/1/07,"712,454",Commercial,,,,
6/1/07,"756,349",Commuter,,,,
6/1/07,"26,291",Non Revenue,,,,
7/1/07,"6,586,785",Passenger,,,,
7/1/07,"711,950",Commercial,,,,
7/1/07,"703,192",Commuter,,,,
7/1/07,"26,241",Non Revenue,,,,
8/1/07,"7,027,827",Passenger,,,,
8/1/07,"756,862",Commercial,,,,
8/1/07,"740,255",Commuter,,,,
8/1/07,"27,193",Non Revenue,,,,
9/1/07,"5,391,344",Passenger,,,,
9/1/07,"657,582",Commercial,,,,
9/1/07,"727,248",Commuter,,,,
9/1/07,"23,767",Non Revenue,,,,
10/1/07,"5,153,752",Passenger,,,,
10/1/07,"727,927",Commercial,,,,
10/1/07,"808,721",Commuter,,,,
10/1/07,"26,507",Non Revenue,,,,
11/1/07,"4,563,992",Passenger,,,,
11/1/07,"638,587",Commercial,,,,
11/1/07,"735,612",Commuter,,,,
11/1/07,"25,524",Non Revenue,,,,
12/1/07,"4,072,648",Passenger,,,,
12/1/07,"575,756",Commercial,,,,
12/1/07,"693,791",Commuter,,,,
12/1/07,"44,227",Non Revenue,,,,
1/1/08,"3,897,124",Passenger,,,,
1/1/08,"614,910",Commercial,,,,
1/1/08,"784,857",Commuter,,,,
1/1/08,"34,713",Non Revenue,,,,
2/1/08,"3,732,172",Passenger,,,,
2/1/08,"566,202",Commercial,,,,
2/1/08,"702,569",Commuter,,,,
2/1/08,"42,248",Non Revenue,,,,
3/1/08,"4,126,618",Passenger,,,,
3/1/08,"609,783",Commercial,,,,
3/1/08,"786,741",Commuter,,,,
3/1/08,"32,141",Non Revenue,,,,
4/1/08,"4,277,100",Passenger,,,,
4/1/08,"655,096",Commercial,,,,
4/1/08,"782,622",Commuter,,,,
4/1/08,"25,625",Non Revenue,,,,
5/1/08,"4,927,123",Passenger,,,,
5/1/08,"682,138",Commercial,,,,
5/1/08,"761,173",Commuter,,,,
5/1/08,"26,533",Non Revenue,,,,
6/1/08,"5,172,395",Passenger,,,,
6/1/08,"673,848",Commercial,,,,
6/1/08,"744,718",Commuter,,,,
6/1/08,"24,461",Non Revenue,,,,
7/1/08,"6,346,572",Passenger,,,,
7/1/08,"715,878",Commercial,,,,
7/1/08,"716,884",Commuter,,,,
7/1/08,"25,593",Non Revenue,,,,
8/1/08,"6,765,449",Passenger,,,,
8/1/08,"662,802",Commercial,,,,
8/1/08,"688,807",Commuter,,,,
8/1/08,"24,919",Non Revenue,,,,
9/1/08,"4,917,369",Passenger,,,,
9/1/08,"641,148",Commercial,,,,
9/1/08,"757,311",Commuter,,,,
9/1/08,"24,958",Non Revenue,,,,
10/1/08,"4,976,874",Passenger,,,,
10/1/08,"660,606",Commercial,,,,
10/1/08,"795,392",Commuter,,,,
10/1/08,"25,687",Non Revenue,,,,
11/1/08,"4,341,565",Passenger,,,,
11/1/08,"536,950",Commercial,,,,
11/1/08,"679,541",Commuter,,,,
11/1/08,"24,325",Non Revenue,,,,
12/1/08,"4,111,826",Passenger,,,,
12/1/08,"558,090",Commercial,,,,
12/1/08,"741,772",Commuter,,,,
12/1/08,"42,076",Non Revenue,,,,
1/1/09,"3,710,275",Passenger,,,,
1/1/09,"529,342",Commercial,,,,
1/1/09,"734,260",Commuter,,,,
1/1/09,"42,028",Non Revenue,,,,
2/1/09,"3,509,839",Passenger,,,,
2/1/09,"485,251",Commercial,,,,
2/1/09,"711,614",Commuter,,,,
2/1/09,"30,873",Non Revenue,,,,
3/1/09,"3,890,716",Passenger,,,,
3/1/09,"546,701",Commercial,,,,
3/1/09,"848,057",Commuter,,,,
3/1/09,"31,613",Non Revenue,,,,
4/1/09,"4,123,387",Passenger,,,,
4/1/09,"587,320",Commercial,,,,
4/1/09,"827,353",Commuter,,,,
4/1/09,"25,944",Non Revenue,,,,
5/1/09,"4,705,988",Passenger,,,,
5/1/09,"615,221",Commercial,,,,
5/1/09,"780,482",Commuter,,,,
5/1/09,"25,336",Non Revenue,,,,
6/1/09,"4,916,952",Passenger,,,,
6/1/09,"641,236",Commercial,,,,
6/1/09,"820,397",Commuter,,,,
6/1/09,"25,875",Non Revenue,,,,
7/1/09,"6,283,598",Passenger,,,,
7/1/09,"664,256",Commercial,,,,
7/1/09,"767,476",Commuter,,,,
7/1/09,"25,669",Non Revenue,,,,
8/1/09,"6,589,801",Passenger,,,,
8/1/09,"632,754",Commercial,,,,
8/1/09,"728,234",Commuter,,,,
8/1/09,"25,180",Non Revenue,,,,
9/1/09,"5,075,658",Passenger,,,,
9/1/09,"620,413",Commercial,,,,
9/1/09,"795,226",Commuter,,,,
9/1/09,"25,070",Non Revenue,,,,
10/1/09,"4,823,056",Passenger,,,,
10/1/09,"619,152",Commercial,,,,
10/1/09,"824,407",Commuter,,,,
10/1/09,"24,747",Non Revenue,,,,
11/1/09,"4,175,753",Passenger,,,,
11/1/09,"542,715",Commercial,,,,
11/1/09,"734,293",Commuter,,,,
11/1/09,"23,874",Non Revenue,,,,
12/1/09,"4,069,534",Passenger,,,,
12/1/09,"555,063",Commercial,,,,
12/1/09,"800,677",Commuter,,,,
12/1/09,"33,685",Non Revenue,,,,
1/1/10,"3,564,560",Passenger,,,,
1/1/10,"506,109",Commercial,,,,
1/1/10,"770,422",Commuter,,,,
1/1/10,"38,486",Non Revenue,,,,
2/1/10,"3,532,659",Passenger,,,,
2/1/10,"480,194",Commercial,,,,
2/1/10,"725,463",Commuter,,,,
2/1/10,"25,433",Non Revenue,,,,
3/1/10,"4,014,582",Passenger,,,,
3/1/10,"582,478",Commercial,,,,
3/1/10,"870,715",Commuter,,,,
3/1/10,"27,891",Non Revenue,,,,
4/1/10,"4,202,417",Passenger,,,,
4/1/10,"620,995",Commercial,,,,
4/1/10,"808,025",Commuter,,,,
4/1/10,"25,721",Non Revenue,,,,
5/1/10,"4,781,018",Passenger,,,,
5/1/10,"627,096",Commercial,,,,
5/1/10,"764,957",Commuter,,,,
5/1/10,"24,654",Non Revenue,,,,
6/1/10,"5,065,783",Passenger,,,,
6/1/10,"653,571",Commercial,,,,
6/1/10,"802,496",Commuter,,,,
6/1/10,"24,945",Non Revenue,,,,
7/1/10,"6,493,467",Passenger,,,,
7/1/10,"651,493",Commercial,,,,
7/1/10,"733,423",Commuter,,,,
7/1/10,"25,037",Non Revenue,,,,
8/1/10,"6,747,833",Passenger,,,,
8/1/10,"664,755",Commercial,,,,
8/1/10,"739,665",Commuter,,,,
8/1/10,"25,565",Non Revenue,,,,
9/1/10,"5,117,118",Passenger,,,,
9/1/10,"625,828",Commercial,,,,
9/1/10,"789,984",Commuter,,,,
9/1/10,"23,338",Non Revenue,,,,
10/1/10,"4,981,612",Passenger,,,,
10/1/10,"607,142",Commercial,,,,
10/1/10,"794,497",Commuter,,,,
10/1/10,"23,901",Non Revenue,,,,
11/1/10,"4,296,504",Passenger,,,,
11/1/10,"577,923",Commercial,,,,
11/1/10,"753,898",Commuter,,,,
11/1/10,"24,080",Non Revenue,,,,
12/1/10,"4,096,982",Passenger,,,,
12/1/10,"559,168",Commercial,,,,
12/1/10,"784,439",Commuter,,,,
12/1/10,"34,359",Non Revenue,,,,
1/1/11,"3,558,647",Passenger,,,,
1/1/11,"532,188",Commercial,,,,
1/1/11,"762,372",Commuter,,,,
1/1/11,"37,673",Non Revenue,,,,
2/1/11,"3,430,020",Passenger,,,,
2/1/11,"499,510",Commercial,,,,
2/1/11,"682,385",Commuter,,,,
2/1/11,"36,386",Non Revenue,,,,
3/1/11,"4,029,835",Passenger,,,,
3/1/11,"602,257",Commercial,,,,
3/1/11,"865,481",Commuter,,,,
3/1/11,"28,765",Non Revenue,,,,
4/1/11,"4,083,098",Passenger,,,,
4/1/11,"577,607",Commercial,,,,
4/1/11,"771,055",Commuter,,,,
4/1/11,"25,297",Non Revenue,,,,
5/1/11,"4,659,455",Passenger,,,,
5/1/11,"626,083",Commercial,,,,
5/1/11,"773,433",Commuter,,,,
5/1/11,"24,548",Non Revenue,,,,
6/1/11,"5,035,502",Passenger,,,,
6/1/11,"654,219",Commercial,,,,
6/1/11,"801,432",Commuter,,,,
6/1/11,"24,832",Non Revenue,,,,
7/1/11,"6,515,449",Passenger,,,,
7/1/11,"626,027",Commercial,,,,
7/1/11,"706,233",Commuter,,,,
7/1/11,"23,254",Non Revenue,,,,
8/1/11,"6,531,208",Passenger,,,,
8/1/11,"683,607",Commercial,,,,
8/1/11,"755,261",Commuter,,,,
8/1/11,"24,258",Non Revenue,,,,
9/1/11,"5,165,525",Passenger,,,,
9/1/11,"635,250",Commercial,,,,
9/1/11,"783,836",Commuter,,,,
9/1/11,"22,913",Non Revenue,,,,
10/1/11,"4,844,871",Passenger,,,,
10/1/11,"605,861",Commercial,,,,
10/1/11,"784,907",Commuter,,,,
10/1/11,"24,458",Non Revenue,,,,
11/1/11,"4,266,223",Passenger,,,,
11/1/11,"577,492",Commercial,,,,
11/1/11,"744,542",Commuter,,,,
11/1/11,"23,392",Non Revenue,,,,
12/1/11,"4,225,316",Passenger,,,,
12/1/11,"562,195",Commercial,,,,
12/1/11,"782,865",Commuter,,,,
12/1/11,"27,575",Non Revenue,,,,
1/1/12,"3,618,192",Passenger,,,,
1/1/12,"543,160",Commercial,,,,
1/1/12,"782,385",Commuter,,,,
1/1/12,"34,011",Non Revenue,,,,
2/1/12,"3,733,758",Passenger,,,,
2/1/12,"524,743",Commercial,,,,
2/1/12,"750,924",Commuter,,,,
2/1/12,"25,306",Non Revenue,,,,
3/1/12,"4,004,503",Passenger,,,,
3/1/12,"576,087",Commercial,,,,
3/1/12,"828,288",Commuter,,,,
3/1/12,"29,489",Non Revenue,,,,
4/1/12,"4,157,821",Passenger,,,,
4/1/12,"582,296",Commercial,,,,
4/1/12,"778,988",Commuter,,,,
4/1/12,"23,257",Non Revenue,,,,
5/1/12,"4,811,704",Passenger,,,,
5/1/12,"640,573",Commercial,,,,
5/1/12,"804,054",Commuter,,,,
5/1/12,"24,782",Non Revenue,,,,
6/1/12,"5,251,667",Passenger,,,,
6/1/12,"627,593",Commercial,,,,
6/1/12,"782,841",Commuter,,,,
6/1/12,"23,118",Non Revenue,,,,
7/1/12,"6,470,432",Passenger,,,,
7/1/12,"643,638",Commercial,,,,
7/1/12,"728,990",Commuter,,,,
7/1/12,"22,777",Non Revenue,,,,
8/1/12,"6,817,327",Passenger,,,,
8/1/12,"674,693",Commercial,,,,
8/1/12,"757,482",Commuter,,,,
8/1/12,"24,251",Non Revenue,,,,
9/1/12,"5,103,679",Passenger,,,,
9/1/12,"585,541",Commercial,,,,
9/1/12,"727,711",Commuter,,,,
9/1/12,"21,588",Non Revenue,,,,
10/1/12,"4,775,458",Passenger,,,,
10/1/12,"630,989",Commercial,,,,
10/1/12,"789,229",Commuter,,,,
10/1/12,"23,018",Non Revenue,,,,
11/1/12,"4,917,807",Passenger,,,,
11/1/12,"576,350",Commercial,,,,
11/1/12,8,Commuter,,,,
11/1/12,"23,198",Non Revenue,,,,
12/1/12,"4,619,599",Passenger,,,,
12/1/12,"517,660",Commercial,,,,
12/1/12,0,Commuter,,,,
12/1/12,"33,393",Non Revenue,,,,
1/1/13,"4,406,740",Passenger,,,,
1/1/13,"558,896",Commercial,,,,
1/1/13,"26,636",Non Revenue,,,,
2/1/13,"3,874,150",Passenger,,,,
2/1/13,"489,283",Commercial,,,,
2/1/13,"32,403",Non Revenue,,,,
3/1/13,"4,786,257",Passenger,,,,
3/1/13,"545,527",Commercial,,,,
3/1/13,"27,686",Non Revenue,,,,
4/1/13,"4,863,363",Passenger,,,,
4/1/13,"595,885",Commercial,,,,
4/1/13,"21,993",Non Revenue,,,,
5/1/13,"5,593,020",Passenger,,,,
5/1/13,"653,807",Commercial,,,,
5/1/13,"21,965",Non Revenue,,,,
6/1/13,"5,921,449",Passenger,,,,
6/1/13,"610,296",Commercial,,,,
6/1/13,"20,664",Non Revenue,,,,
7/1/13,"7,204,801",Passenger,,,,
7/1/13,"657,577",Commercial,,,,
7/1/13,"21,450",Non Revenue,,,,
8/1/13,"7,645,310",Passenger,,,,
8/1/13,"666,618",Commercial,,,,
8/1/13,"21,821",Non Revenue,,,,
9/1/13,"5,848,856",Passenger,,,,
9/1/13,"606,083",Commercial,,,,
9/1/13,"20,285",Non Revenue,,,,
10/1/13,"5,758,046",Passenger,,,,
10/1/13,"641,472",Commercial,,,,
10/1/13,"22,541",Non Revenue,,,,
11/1/13,"4,989,215",Passenger,,,,
11/1/13,"549,997",Commercial,,,,
11/1/13,"20,348",Non Revenue,,,,
12/1/13,"4,754,350",Passenger,,,,
12/1/13,"552,744",Commercial,,,,
12/1/13,"34,700",Non Revenue,,,,
1/1/14,"4,412,072",Passenger,,,,
1/1/14,"557,820",Commercial,,,,
1/1/14,"31,094",Non Revenue,,,,
2/1/14,"4,123,770",Passenger,,,,
2/1/14,"491,181",Commercial,,,,
2/1/14,"33,193",Non Revenue,,,,
3/1/14,"4,859,409",Passenger,,,,
3/1/14,"557,454",Commercial,,,,
3/1/14,"26,695",Non Revenue,,,,
4/1/14,"5,070,144",Passenger,,,,
4/1/14,"597,413",Commercial,,,,
4/1/14,"23,227",Non Revenue,,,,
5/1/14,"5,742,544",Passenger,,,,
5/1/14,"639,521",Commercial,,,,
5/1/14,"22,862",Non Revenue,,,,
6/1/14,"6,208,177",Passenger,,,,
6/1/14,"645,827",Commercial,,,,
6/1/14,"23,454",Non Revenue,,,,
7/1/14,"7,410,050",Passenger,,,,
7/1/14,"671,484",Commercial,,,,
7/1/14,"22,934",Non Revenue,,,,
8/1/14,"7,856,303",Passenger,,,,
8/1/14,"657,348",Commercial,,,,
8/1/14,"21,752",Non Revenue,,,,
9/1/14,"6,109,243",Passenger,,,,
9/1/14,"639,747",Commercial,,,,
9/1/14,"22,689",Non Revenue,,,,
