date,transactions,vehicle
2007-01-01,3907712,Passenger
2007-01-01,615498,Commercial
2007-01-01,770939,Commuter
2007-01-01,34592,Non Revenue
2007-02-01,3770357,Passenger
2007-02-01,552559,Commercial
2007-02-01,668249,Commuter
2007-02-01,31839,Non Revenue
2007-03-01,4222639,Passenger
2007-03-01,636455,Commercial
2007-03-01,790578,Commuter
2007-03-01,34801,Non Revenue
2007-04-01,4252406,Passenger
2007-04-01,628034,Commercial
2007-04-01,737552,Commuter
2007-04-01,31610,Non Revenue
2007-05-01,4987543,Passenger
2007-05-01,734823,Commercial
2007-05-01,792062,Commuter
2007-05-01,27697,Non Revenue
2007-06-01,5406251,Passenger
2007-06-01,712454,Commercial
2007-06-01,756349,Commuter
2007-06-01,26291,Non Revenue
2007-07-01,6586785,Passenger
2007-07-01,711950,Commercial
2007-07-01,703192,Commuter
2007-07-01,26241,Non Revenue
2007-08-01,7027827,Passenger
2007-08-01,756862,Commercial
2007-08-01,740255,Commuter
2007-08-01,27193,Non Revenue
2007-09-01,5391344,Passenger
2007-09-01,657582,Commercial
2007-09-01,727248,Commuter
2007-09-01,23767,Non Revenue
2007-10-01,5153752,Passenger
2007-10-01,727927,Commercial
2007-10-01,808721,Commuter
2007-10-01,26507,Non Revenue
2007-11-01,4563992,Passenger
2007-11-01,638587,Commercial
2007-11-01,735612,Commuter
2007-11-01,25524,Non Revenue
2007-12-01,4072648,Passenger
2007-12-01,575756,Commercial
2007-12-01,693791,Commuter
2007-12-01,44227,Non Revenue
2008-01-01,3897124,Passenger
2008-01-01,614910,Commercial
2008-01-01,784857,Commuter
2008-01-01,34713,Non Revenue
2008-02-01,3732172,Passenger
2008-02-01,566202,Commercial
2008-02-01,702569,Commuter
2008-02-01,42248,Non Revenue
2008-03-01,4126618,Passenger
2008-03-01,609783,Commercial
2008-03-01,786741,Commuter
2008-03-01,32141,Non Revenue
2008-04-01,4277100,Passenger
2008-04-01,655096,Commercial
2008-04-01,782622,Commuter
2008-04-01,25625,Non Revenue
2008-05-01,4927123,Passenger
2008-05-01,682138,Commercial
2008-05-01,761173,Commuter
2008-05-01,26533,Non Revenue
2008-06-01,5172395,Passenger
2008-06-01,673848,Commercial
2008-06-01,744718,Commuter
2008-06-01,24461,Non Revenue
2008-07-01,6346572,Passenger
2008-07-01,715878,Commercial
2008-07-01,716884,Commuter
2008-07-01,25593,Non Revenue
2008-08-01,6765449,Passenger
2008-08-01,662802,Commercial
2008-08-01,688807,Commuter
2008-08-01,24919,Non Revenue
2008-09-01,4917369,Passenger
2008-09-01,641148,Commercial
2008-09-01,757311,Commuter
2008-09-01,24958,Non Revenue
2008-10-01,4976874,Passenger
2008-10-01,660606,Commercial
2008-10-01,795392,Commuter
2008-10-01,25687,Non Revenue
2008-11-01,4341565,Passenger
2008-11-01,536950,Commercial
2008-11-01,679541,Commuter
2008-11-01,24325,Non Revenue
2008-12-01,4111826,Passenger
2008-12-01,558090,Commercial
2008-12-01,741772,Commuter
2008-12-01,42076,Non Revenue
2009-01-01,3710275,Passenger
2009-01-01,529342,Commercial
2009-01-01,734260,Commuter
2009-01-01,42028,Non Revenue
2009-02-01,3509839,Passenger
2009-02-01,485251,Commercial
2009-02-01,711614,Commuter
2009-02-01,30873,Non Revenue
2009-03-01,3890716,Passenger
2009-03-01,546701,Commercial
2009-03-01,848057,Commuter
2009-03-01,31613,Non Revenue
2009-04-01,4123387,Passenger
2009-04-01,587320,Commercial
2009-04-01,827353,Commuter
2009-04-01,25944,Non Revenue
2009-05-01,4705988,Passenger
2009-05-01,615221,Commercial
2009-05-01,780482,Commuter
2009-05-01,25336,Non Revenue
2009-06-01,4916952,Passenger
2009-06-01,641236,Commercial
2009-06-01,820397,Commuter
2009-06-01,25875,Non Revenue
2009-07-01,6283598,Passenger
2009-07-01,664256,Commercial
2009-07-01,767476,Commuter
2009-07-01,25669,Non Revenue
2009-08-01,6589801,Passenger
2009-08-01,632754,Commercial
2009-08-01,728234,Commuter
2009-08-01,25180,Non Revenue
2009-09-01,5075658,Passenger
2009-09-01,620413,Commercial
2009-09-01,795226,Commuter
2009-09-01,25070,Non Revenue
2009-10-01,4823056,Passenger
2009-10-01,619152,Commercial
2009-10-01,824407,Commuter
2009-10-01,24747,Non Revenue
2009-11-01,4175753,Passenger
2009-11-01,542715,Commercial
2009-11-01,734293,Commuter
2009-11-01,23874,Non Revenue
2009-12-01,4069534,Passenger
2009-12-01,555063,Commercial
2009-12-01,800677,Commuter
2009-12-01,33685,Non Revenue
2010-01-01,3564560,Passenger
2010-01-01,506109,Commercial
2010-01-01,770422,Commuter
2010-01-01,38486,Non Revenue
2010-02-01,3532659,Passenger
2010-02-01,480194,Commercial
2010-02-01,725463,Commuter
2010-02-01,25433,Non Revenue
2010-03-01,4014582,Passenger
2010-03-01,582478,Commercial
2010-03-01,870715,Commuter
2010-03-01,27891,Non Revenue
2010-04-01,4202417,Passenger
2010-04-01,620995,Commercial
2010-04-01,808025,Commuter
2010-04-01,25721,Non Revenue
2010-05-01,4781018,Passenger
2010-05-01,627096,Commercial
2010-05-01,764957,Commuter
2010-05-01,24654,Non Revenue
2010-06-01,5065783,Passenger
2010-06-01,653571,Commercial
2010-06-01,802496,Commuter
2010-06-01,24945,Non Revenue
2010-07-01,6493467,Passenger
2010-07-01,651493,Commercial
2010-07-01,733423,Commuter
2010-07-01,25037,Non Revenue
2010-08-01,6747833,Passenger
2010-08-01,664755,Commercial
2010-08-01,739665,Commuter
2010-08-01,25565,Non Revenue
2010-09-01,5117118,Passenger
2010-09-01,625828,Commercial
2010-09-01,789984,Commuter
2010-09-01,23338,Non Revenue
2010-10-01,4981612,Passenger
2010-10-01,607142,Commercial
2010-10-01,794497,Commuter
2010-10-01,23901,Non Revenue
2010-11-01,4296504,Passenger
2010-11-01,577923,Commercial
2010-11-01,753898,Commuter
2010-11-01,24080,Non Revenue
2010-12-01,4096982,Passenger
2010-12-01,559168,Commercial
2010-12-01,784439,Commuter
2010-12-01,34359,Non Revenue
2011-01-01,3558647,Passenger
2011-01-01,532188,Commercial
2011-01-01,762372,Commuter
2011-01-01,37673,Non Revenue
2011-02-01,3430020,Passenger
2011-02-01,499510,Commercial
2011-02-01,682385,Commuter
2011-02-01,36386,Non Revenue
2011-03-01,4029835,Passenger
2011-03-01,602257,Commercial
2011-03-01,865481,Commuter
2011-03-01,28765,Non Revenue
2011-04-01,4083098,Passenger
2011-04-01,577607,Commercial
2011-04-01,771055,Commuter
2011-04-01,25297,Non Revenue
2011-05-01,4659455,Passenger
2011-05-01,626083,Commercial
2011-05-01,773433,Commuter
2011-05-01,24548,Non Revenue
2011-06-01,5035502,Passenger
2011-06-01,654219,Commercial
2011-06-01,801432,Commuter
2011-06-01,24832,Non Revenue
2011-07-01,6515449,Passenger
2011-07-01,626027,Commercial
2011-07-01,706233,Commuter
2011-07-01,23254,Non Revenue
2011-08-01,6531208,Passenger
2011-08-01,683607,Commercial
2011-08-01,755261,Commuter
2011-08-01,24258,Non Revenue
2011-09-01,5165525,Passenger
2011-09-01,635250,Commercial
2011-09-01,783836,Commuter
2011-09-01,22913,Non Revenue
2011-10-01,4844871,Passenger
2011-10-01,605861,Commercial
2011-10-01,784907,Commuter
2011-10-01,24458,Non Revenue
2011-11-01,4266223,Passenger
2011-11-01,577492,Commercial
2011-11-01,744542,Commuter
2011-11-01,23392,Non Revenue
2011-12-01,4225316,Passenger
2011-12-01,562195,Commercial
2011-12-01,782865,Commuter
2011-12-01,27575,Non Revenue
2012-01-01,3618192,Passenger
2012-01-01,543160,Commercial
2012-01-01,782385,Commuter
2012-01-01,34011,Non Revenue
2012-02-01,3733758,Passenger
2012-02-01,524743,Commercial
2012-02-01,750924,Commuter
2012-02-01,25306,Non Revenue
2012-03-01,4004503,Passenger
2012-03-01,576087,Commercial
2012-03-01,828288,Commuter
