year,code,plaza,revenue,transactions,average_fare,average_daily_transactions
2007,7,York,34802359.7,14691036,2.37,NA
2007,19,Wells,1175193.75,2457558,0.48,NA
2007,25,Kennebunk,918413.4,1940948,0.47,NA
2007,32,Biddeford,2483328.75,4564081,0.54,NA
2007,36,Saco,2611079.05,5090611,0.51,NA
2007,42,Scarborough,1180074.85,1907469,0.62,NA
2007,44,Scarborough I-295,4348113.3,6121329,0.71,NA
2007,45,Maine Mall/Payne Road,3154264.85,4600074,0.69,NA
2007,46,Jetport,1587425.15,3112270,0.51,NA
2007,47,Rand Road,986458,1740220,0.57,NA
2007,48,Riverside St/Larrabee Road,2099694.2,3810150,0.55,NA
2007,52,Falmouth Spur,2855950.85,4048647,0.71,NA
2007,53,West Falmouth,1012412.35,2011673,0.5,NA
2007,63,Gray,1566834.85,2698418,0.58,NA
2007,67,New Gloucester,11253243.75,6284670,1.79,NA
2007,102,West Gardiner,5475621.05,3943240,1.39,NA
2007,103,Gardiner I-295,5183683.15,7554186,0.69,NA
2008,7,York,33041703.65,13860815,2.38,37871.08
2008,19,Wells,1163544.2,2441409,0.48,6670.52
2008,25,Kennebunk,882120.8,1870306,0.47,5110.13
2008,32,Biddeford,2393582.85,4489649,0.53,12266.8
2008,36,Saco,2624146.6,5109881,0.51,13961.42
2008,42,Scarborough,1244007.7,2101393,0.59,5741.51
2008,44,Scarborough I-295,4184308.85,5884805,0.71,16078.7
2008,45,Maine Mall/Payne Road,3153317.1,4601481,0.69,12572.35
2008,46,Jetport,1595413.45,3147285,0.51,8599.14
2008,47,Rand Road,955762.2,1685350,0.57,4604.78
2008,48,Riverside St/Larrabee Road,2076687.95,3756111,0.55,10262.6
2008,52,Falmouth Spur,2620242.55,3681238,0.71,10058.03
2008,53,West Falmouth,1015157.55,2022160,0.5,5525.03
2008,63,Gray,1529791.45,2673761,0.57,7305.36
2008,67,New Gloucester,11124991.4,6187851,1.8,16906.7
2008,102,West Gardiner,5591549.4,4023342,1.39,10992.74
2008,103,Gardiner I-295,4740649.25,6928467,0.68,18930.24
2009,7,York,36725713.65,13864183,2.65,37984.06
2009,19,Wells,1544604.75,2488310,0.62,6817.29
2009,25,Kennebunk,1243995.5,1864611,0.67,5108.52
2009,32,Biddeford,3373172.55,4397683,0.77,12048.45
2009,36,Saco,3515802.85,4892944,0.72,13405.33
2009,42,Scarborough,1730095.8,2104134,0.82,5764.75
2009,44,Scarborough I-295,6144071.55,5794662,1.06,15875.79
2009,45,Maine Mall/Payne Road,4131106.75,4382111,0.94,12005.78
2009,46,Jetport,2070057.3,2997294,0.69,8211.76
2009,47,Rand Road,1211170.3,1558039,0.78,4268.6
2009,48,Riverside St/Larrabee Road,2765300.25,3535711,0.78,9686.88
2009,52,Falmouth Spur,3304777.5,3292848,1,9021.5
2009,53,West Falmouth,1300695.85,1931688,0.67,5292.3
2009,63,Gray,2147405.85,2600240,0.83,7123.95
2009,67,New Gloucester,13931070.6,5926892,2.35,16238.06
2009,102,West Gardiner,6270192,3955182,1.59,10836.12
2009,103,Gardiner I-295,6745118.6,7039827,0.96,19287.2
2010,7,York,37666778.8,14119721,2.67,38684.17
2010,19,Wells,1638162.8,2593432,0.63,7105.29
2010,25,Kennebunk,1326579,1920133,0.69,5260.64
2010,32,Biddeford,3492111.85,4448276,0.79,12187.06
2010,36,Saco,3740277,5070420,0.74,13891.56
2010,42,Scarborough,1825330.8,2168476,0.84,5941.03
2010,44,Scarborough I-295,6675048.45,5994142,1.11,16422.31
2010,45,Maine Mall/Payne Road,4292631.05,4442229,0.97,12170.49
2010,46,Jetport,2235702.8,3116572,0.72,8538.55
2010,47,Rand Road,1302289.2,1581401,0.82,4332.61
2010,48,Riverside St/Larrabee Road,2907610.55,3634818,0.8,9958.41
2010,52,Falmouth Spur,3422465.1,3250582,1.05,8905.7
2010,53,West Falmouth,1352696.1,1931632,0.7,5292.14
2010,63,Gray,2230536.2,2621396,0.85,7181.91
2010,67,New Gloucester,13159201.35,5646986,2.33,15471.19
2010,102,West Gardiner,5486200,3579290,1.53,9806.27
2010,103,Gardiner I-295,7620642.65,7593210,1,20803.32
2011,7,York,36952168.6,13755018,2.69,37684.98
2011,19,Wells,1693398.5,2670522,0.63,7316.5
2011,25,Kennebunk,1341667.5,1935274,0.69,5302.12
2011,32,Biddeford,3547039.7,4534902,0.78,12424.39
2011,36,Saco,3719201.65,5090126,0.73,13945.55
2011,42,Scarborough,1850289.95,2204174,0.84,6038.83
2011,44,Scarborough I-295,6243436.25,5716891,1.09,15662.72
2011,45,Maine Mall/Payne Road,4345297.75,4523673,0.96,12393.62
2011,46,Jetport,2273277.6,3169502,0.72,8683.57
2011,47,Rand Road,1571888.9,1884697,0.83,5163.55
2011,48,Riverside St/Larrabee Road,2459293,3181025,0.77,8715.14
2011,52,Falmouth Spur,3725330.3,3353670,1.11,9188.14
2011,53,West Falmouth,1356116.1,1936070,0.7,5304.3
2011,63,Gray,2223011.1,2626625,0.85,7196.23
2011,67,New Gloucester,12968338.7,5443839,2.38,14914.63
2011,102,West Gardiner,5521974.85,3521526,1.57,9648.02
2011,103,Gardiner I-295,7413965.05,7517093,0.99,20594.78
