date,inflation
1/1/07,0.22
2/1/07,0.22
3/1/07,0.21
4/1/07,0.2
5/1/07,0.19
6/1/07,0.19
7/1/07,0.19
8/1/07,0.19
9/1/07,0.19
10/1/07,0.19
11/1/07,0.18
12/1/07,0.18
1/1/08,0.17
2/1/08,0.17
3/1/08,0.16
4/1/08,0.15
5/1/08,0.14
6/1/08,0.13
7/1/08,0.13
8/1/08,0.13
9/1/08,0.13
10/1/08,0.14
11/1/08,0.17
12/1/08,0.18
1/1/09,0.17
2/1/09,0.17
3/1/09,0.17
4/1/09,0.16
5/1/09,0.16
6/1/09,0.15
7/1/09,0.15
8/1/09,0.15
9/1/09,0.15
10/1/09,0.15
11/1/09,0.15
12/1/09,0.15
1/1/10,0.14
2/1/10,0.14
3/1/10,0.14
4/1/10,0.14
5/1/10,0.14
6/1/10,0.14
7/1/10,0.14
8/1/10,0.14
9/1/10,0.13
10/1/10,0.13
11/1/10,0.13
12/1/10,0.13
1/1/11,0.13
2/1/11,0.12
3/1/11,0.11
4/1/11,0.1
5/1/11,0.1
6/1/11,0.1
7/1/11,0.1
8/1/11,0.09
9/1/11,0.09
10/1/11,0.09
11/1/11,0.1
12/1/11,0.1
1/1/12,0.09
2/1/12,0.09
3/1/12,0.08
4/1/12,0.08
5/1/12,0.08
6/1/12,0.08
7/1/12,0.08
8/1/12,0.08
9/1/12,0.07
10/1/12,0.07
11/1/12,0.08
12/1/12,0.08
1/1/13,0.08
2/1/13,0.07
3/1/13,0.06
4/1/13,0.07
5/1/13,0.06
6/1/13,0.06
7/1/13,0.06
8/1/13,0.06
9/1/13,0.06
10/1/13,0.06
11/1/13,0.06
12/1/13,0.06
1/1/14,0.06
2/1/14,0.06
3/1/14,0.05
4/1/14,0.05
5/1/14,0.04
6/1/14,0.04
7/1/14,0.04
8/1/14,0.04
9/1/14,0.04
10/1/14,0.04
11/1/14,0.05
12/1/14,0.06
1/1/15,0.06
2/1/15,0.06
3/1/15,0.05
4/1/15,0.05
5/1/15,0.04
6/1/15,0.04
7/1/15,0.04
8/1/15,0.04
9/1/15,0.04
10/1/15,0.04
11/1/15,0.04
12/1/15,0.05
1/1/16,0.05
2/1/16,0.05
3/1/16,0.04
4/1/16,0.04
5/1/16,0.03
6/1/16,0.03
7/1/16,0.03
8/1/16,0.03
9/1/16,0.03
10/1/16,0.03
11/1/16,0.03
12/1/16,0.03
1/1/17,0.02
2/1/17,0.02
3/1/17,0.02
4/1/17,0.01
5/1/17,0.01
6/1/17,0.01
7/1/17,0.01
8/1/17,0.01
9/1/17,0
10/1/17,0
11/1/17,0
12/1/17,0.01
1/1/18,0
2/1/18,0
3/1/18,-0.01
4/1/18,-0.01
5/1/18,-0.01
6/1/18,-0.02
7/1/18,-0.02
8/1/18,-0.02
9/1/18,-0.02
10/1/18,-0.02
11/1/18,-0.02
12/1/18,-0.01
1/1/19,-0.02
2/1/19,-0.02
3/1/19,-0.02
4/1/19,-0.03
5/1/19,-0.03
6/1/19,-0.03
7/1/19,-0.03
8/1/19,-0.03
9/1/19,-0.03
10/1/19,-0.04
11/1/19,-0.04
12/1/19,-0.04
1/1/20,-0.04
2/1/20,-0.04
3/1/20,-0.04
