fiscal_year,fund,category,code,tax,July,August,September,October,November,December,January,February,March,April,May,June,
1994,General Fund,Property Tax,0108,Fr UTESF,0.00,0.00,0.00,7671845.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,804895.00,
1994,General Fund,Property Tax,0161,Prop Int,22.38,0.00,0.00,13801.51,342.01,0.00,110.81,0.00,0.00,0.00,3448.39,0.00,
1994,General Fund,Property Tax,0170,Rel Est Tra,766168.66,591901.92,504626.54,691079.04,783063.98,438471.82,843762.53,412367.75,297795.24,467517.38,466289.10,622368.10,
1994,General Fund,Property Tax,0175,Comm For ex ,-16004.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3387114.76,0.00,-32782.72,
1994,General Fund,Estate Tax,0211,Estate Tx,846510.61,1006610.45,500195.63,696422.90,630021.29,469230.87,940704.18,1500405.62,1151509.35,997041.01,1004083.83,365459.87,
1994,General Fund,Estate Tax,0212,Estate TX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-139748.36,
1994,General Fund,Estate Tax,0221,Inherit Tx,0.00,3719.21,3534.82,1140.29,0.00,9115.14,1316.12,-8691.87,0.00,0.00,1609.62,-68914.06,
1994,General Fund,Estate Tax,0241,Int-Pen,13628.78,5833.75,28943.57,1198.42,8287.56,3633.91,18171.98,21798.69,17330.44,4063.89,7936.30,38119.66,
1994,General Fund,Motor Fuel Tax,0311,Spec Fuel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1000.00,-975.00,0.00,0.00,0.00,
1994,General Fund,Motor Fuel Tax,0321,Gas Tax,5140.28,5785.03,5852.46,4932.46,5047.50,4902.24,4688.38,3018.02,5948.32,4547.33,4147.82,5181.66,
1994,General Fund,Motor Fuel Tax,0331,Aero. Gas,80171.39,93997.03,97805.51,65937.05,58342.68,49867.07,41981.61,24057.96,78231.88,41212.51,53632.96,491882.28,
1994,General Fund,Motor Fuel Tax,0332,Refunds,-76.55,-115.67,0.00,0.00,-15783.82,-1468.80,-3623.21,-7028.71,-855.30,-3206.62,-111.16,-8408.41,
1994,General Fund,Individual Income Tax,0401,Payments,2371219.87,4122316.18,1840244.50,2609009.35,1321685.91,2555882.69,-576463.42,1516455.21,6570320.08,48103686.79,3394523.36,-7542407.40,
1994,General Fund,Individual Income Tax,0402,Withhold,43672781.02,46734281.60,39785912.61,44653919.67,37912249.99,43265587.25,54476243.31,38681755.72,49171987.97,41665995.66,43050848.69,48868571.98,
1994,General Fund,Individual Income Tax,0403,Estimate,2974801.69,767544.31,30313601.80,2429584.84,977977.84,4497181.28,44157163.48,3110915.05,1169537.82,15688567.33,906325.59,22192176.45,
1994,General Fund,Individual Income Tax,0404,Fiduciary,133185.32,-170782.17,1173698.73,25973.38,3819857.93,-16391.53,2206441.93,274866.38,77552.09,2140883.41,-377018.96,649111.31,
1994,General Fund,Individual Income Tax,0406,Int-Pen,115959.84,117217.08,118492.14,120497.60,122579.43,130247.29,131313.32,135693.43,-31.75,302588.77,159205.88,159787.28,
