date,day,town,description,traffic,type
2019-03-10,Sunday,Auburn ,Veterans Bridge,18362,Pass. Veh
2019-03-10,Sunday,Auburn ,Veterans Bridge,247,SU Trucks
2019-03-10,Sunday,Auburn ,Veterans Bridge,41,Combination
2019-03-10,Sunday,Bangor ,I-95,26415,Pass. Veh
2019-03-10,Sunday,Bangor ,I-95,1776,SU Trucks
2019-03-10,Sunday,Bangor ,I-95,1101,Combination
2019-03-10,Sunday,Brewer ,I-395,16321,Pass. Veh
2019-03-10,Sunday,Brewer ,I-395,633,SU Trucks
2019-03-10,Sunday,Brewer ,I-395,383,Combination
2019-03-10,Sunday,Brunswick ,I-295,24096,Pass. Veh
2019-03-10,Sunday,Brunswick ,I-295,1425,SU Trucks
2019-03-10,Sunday,Brunswick ,I-295,1215,Combination
2019-03-10,Sunday,Carmel ,I-95 NB,5843,Pass. Veh
2019-03-10,Sunday,Carmel ,I-95 NB,146,SU Trucks
2019-03-10,Sunday,Carmel ,I-95 NB,380,Combination
2019-03-10,Sunday,Carmel ,I-95 SB,5392,Pass. Veh
2019-03-10,Sunday,Carmel ,I-95 SB,452,SU Trucks
2019-03-10,Sunday,Carmel ,I-95 SB,737,Combination
2019-03-10,Sunday,Freeport ,I-295,27389,Pass. Veh
2019-03-10,Sunday,Freeport ,I-295,838,SU Trucks
2019-03-10,Sunday,Freeport ,I-295,1048,Combination
2019-03-10,Sunday,Howland ,I-95 NB,2571,Pass. Veh
2019-03-10,Sunday,Howland ,I-95 NB,69,SU Trucks
2019-03-10,Sunday,Howland ,I-95 NB,200,Combination
2019-03-10,Sunday,Howland ,I-95 SB,2623,Pass. Veh
2019-03-10,Sunday,Howland ,I-95 SB,355,SU Trucks
2019-03-10,Sunday,Howland ,I-95 SB,523,Combination
2019-03-10,Sunday,Kittery ,I-95,42447,Pass. Veh
2019-03-10,Sunday,Kittery ,I-95,1359,SU Trucks
2019-03-10,Sunday,Kittery ,I-95,2695,Combination
2019-03-10,Sunday,Portland ,1-295 1,23879,Pass. Veh
2019-03-10,Sunday,Portland ,1-295 1,1207,SU Trucks
2019-03-10,Sunday,Portland ,1-295 1,1015,Combination
2019-03-10,Sunday,Portland ,I-295 2,30260,Pass. Veh
2019-03-10,Sunday,Portland ,I-295 2,6222,SU Trucks
2019-03-10,Sunday,Portland ,I-295 2,1998,Combination
2019-03-10,Sunday,Portland ,I-295 3,31097,Pass. Veh
2019-03-10,Sunday,Portland ,I-295 3,5786,SU Trucks
2019-03-10,Sunday,Portland ,I-295 3,1655,Combination
2019-03-10,Sunday,Saco ,I-195,4805,Pass. Veh
2019-03-10,Sunday,Saco ,I-195,350,SU Trucks
2019-03-10,Sunday,Saco ,I-195,92,Combination
2019-03-10,Sunday,South Portland,NA,41870,Pass. Veh
2019-03-10,Sunday,South Portland,NA,1405,SU Trucks
2019-03-10,Sunday,South Portland,NA,838,Combination
2019-03-10,Sunday,Lewiston ,SR 196,NA,Pass. Veh
2019-03-10,Sunday,Lewiston ,SR 196,NA,SU Trucks
2019-03-10,Sunday,Lewiston ,SR 196,NA,Combination
2019-03-10,Sunday,Berwick ,SR4,NA,Pass. Veh
2019-03-10,Sunday,Berwick ,SR4,NA,SU Trucks
2019-03-10,Sunday,Berwick ,SR4,NA,Combination
2019-03-10,Sunday,Abbott ,Routes 6&15&16,1904,Pass. Veh
2019-03-10,Sunday,Abbott ,Routes 6&15&16,15,SU Trucks
2019-03-10,Sunday,Abbott ,Routes 6&15&16,301,Combination
2019-03-10,Sunday,Mattawamkeag ,Route 2,363,Pass. Veh
2019-03-10,Sunday,Mattawamkeag ,Route 2,5,SU Trucks
2019-03-10,Sunday,Mattawamkeag ,Route 2,23,Combination
2019-03-10,Sunday,New Portland ,Route 27,3012,Pass. Veh
2019-03-10,Sunday,New Portland ,Route 27,12,SU Trucks
2019-03-10,Sunday,New Portland ,Route 27,180,Combination
2019-03-10,Sunday,Princeton ,Route 1,972,Pass. Veh
2019-03-10,Sunday,Princeton ,Route 1,7,SU Trucks
2019-03-10,Sunday,Princeton ,Route 1,49,Combination
2019-03-10,Sunday,T22 MD,NA,1299,Pass. Veh
2019-03-10,Sunday,T22 MD,NA,10,SU Trucks
2019-03-10,Sunday,T22 MD,NA,149,Combination
2019-03-10,Sunday,Vassalboro ,Routes 100 & 201,1849,Pass. Veh
2019-03-10,Sunday,Vassalboro ,Routes 100 & 201,7,SU Trucks
2019-03-10,Sunday,Vassalboro ,Routes 100 & 201,27,Combination
2019-03-10,Sunday,Wilton ,Routes 2 & 17,1172,Pass. Veh
2019-03-10,Sunday,Wilton ,Routes 2 & 17,20,SU Trucks
2019-03-10,Sunday,Wilton ,Routes 2 & 17,59,Combination
2019-03-10,Sunday,Wiscasset ,Route 1,7788,Pass. Veh
2019-03-10,Sunday,Wiscasset ,Route 1,39,SU Trucks
2019-03-10,Sunday,Wiscasset ,Route 1,86,Combination
2019-03-10,Sunday,York ,Route 1,3387,Pass. Veh
2019-03-10,Sunday,York ,Route 1,19,SU Trucks
2019-03-10,Sunday,York ,Route 1,21,Combination
2019-03-11,Monday,Auburn ,Veterans Bridge,32722,Pass. Veh
2019-03-11,Monday,Auburn ,Veterans Bridge,470,SU Trucks
2019-03-11,Monday,Auburn ,Veterans Bridge,197,Combination
2019-03-11,Monday,Bangor ,I-95,46602,Pass. Veh
2019-03-11,Monday,Bangor ,I-95,4013,SU Trucks
2019-03-11,Monday,Bangor ,I-95,2541,Combination
2019-03-11,Monday,Brewer ,I-395,29453,Pass. Veh
2019-03-11,Monday,Brewer ,I-395,1928,SU Trucks
2019-03-11,Monday,Brewer ,I-395,1147,Combination
2019-03-11,Monday,Brunswick ,I-295,39366,Pass. Veh
2019-03-11,Monday,Brunswick ,I-295,1329,SU Trucks
2019-03-11,Monday,Brunswick ,I-295,2620,Combination
2019-03-11,Monday,Carmel ,I-95 NB,8240,Pass. Veh
2019-03-11,Monday,Carmel ,I-95 NB,298,SU Trucks
2019-03-11,Monday,Carmel ,I-95 NB,1087,Combination
2019-03-11,Monday,Carmel ,I-95 SB,7432,Pass. Veh
2019-03-11,Monday,Carmel ,I-95 SB,630,SU Trucks
2019-03-11,Monday,Carmel ,I-95 SB,1308,Combination
2019-03-11,Monday,Freeport ,I-295,46287,Pass. Veh
2019-03-11,Monday,Freeport ,I-295,1256,SU Trucks
2019-03-11,Monday,Freeport ,I-295,2617,Combination
2019-03-11,Monday,Howland ,I-95 NB,3320,Pass. Veh
2019-03-11,Monday,Howland ,I-95 NB,130,SU Trucks
2019-03-11,Monday,Howland ,I-95 NB,500,Combination
2019-03-11,Monday,Howland ,I-95 SB,3295,Pass. Veh
2019-03-11,Monday,Howland ,I-95 SB,147,SU Trucks
2019-03-11,Monday,Howland ,I-95 SB,619,Combination
2019-03-11,Monday,Kittery ,I-95,52424,Pass. Veh
2019-03-11,Monday,Kittery ,I-95,2469,SU Trucks
2019-03-11,Monday,Kittery ,I-95,6481,Combination
2019-03-11,Monday,Portland ,1-295 1,44282,Pass. Veh
2019-03-11,Monday,Portland ,1-295 1,1701,SU Trucks
2019-03-11,Monday,Portland ,1-295 1,2034,Combination
2019-03-11,Monday,Portland ,I-295 2,64813,Pass. Veh
2019-03-11,Monday,Portland ,I-295 2,2608,SU Trucks
2019-03-11,Monday,Portland ,I-295 2,2448,Combination
2019-03-11,Monday,Portland ,I-295 3,65449,Pass. Veh
2019-03-11,Monday,Portland ,I-295 3,3765,SU Trucks
2019-03-11,Monday,Portland ,I-295 3,2654,Combination
2019-03-11,Monday,Saco ,I-195,8875,Pass. Veh
2019-03-11,Monday,Saco ,I-195,220,SU Trucks
2019-03-11,Monday,Saco ,I-195,54,Combination
2019-03-11,Monday,South Portland,NA,75132,Pass. Veh
2019-03-11,Monday,South Portland,NA,1569,SU Trucks
2019-03-11,Monday,South Portland,NA,2121,Combination
2019-03-11,Monday,Lewiston ,SR 196,NA,Pass. Veh
2019-03-11,Monday,Lewiston ,SR 196,NA,SU Trucks
2019-03-11,Monday,Lewiston ,SR 196,NA,Combination
2019-03-11,Monday,Berwick ,SR4,NA,Pass. Veh
2019-03-11,Monday,Berwick ,SR4,NA,SU Trucks
2019-03-11,Monday,Berwick ,SR4,NA,Combination
2019-03-11,Monday,Abbott ,Routes 6&15&16,2151,Pass. Veh
2019-03-11,Monday,Abbott ,Routes 6&15&16,74,SU Trucks
2019-03-11,Monday,Abbott ,Routes 6&15&16,188,Combination
2019-03-11,Monday,Mattawamkeag ,Route 2,524,Pass. Veh
2019-03-11,Monday,Mattawamkeag ,Route 2,35,SU Trucks
2019-03-11,Monday,Mattawamkeag ,Route 2,137,Combination
2019-03-11,Monday,New Portland ,Route 27,1993,Pass. Veh
2019-03-11,Monday,New Portland ,Route 27,28,SU Trucks
2019-03-11,Monday,New Portland ,Route 27,261,Combination
2019-03-11,Monday,Princeton ,Route 1,1816,Pass. Veh
2019-03-11,Monday,Princeton ,Route 1,55,SU Trucks
2019-03-11,Monday,Princeton ,Route 1,329,Combination
2019-03-11,Monday,T22 MD,NA,1420,Pass. Veh
2019-03-11,Monday,T22 MD,NA,48,SU Trucks
2019-03-11,Monday,T22 MD,NA,376,Combination
2019-03-11,Monday,Vassalboro ,Routes 100 & 201,4052,Pass. Veh
2019-03-11,Monday,Vassalboro ,Routes 100 & 201,78,SU Trucks
2019-03-11,Monday,Vassalboro ,Routes 100 & 201,75,Combination
2019-03-11,Monday,Wilton ,Routes 2 & 17,2075,Pass. Veh
2019-03-11,Monday,Wilton ,Routes 2 & 17,99,SU Trucks
2019-03-11,Monday,Wilton ,Routes 2 & 17,391,Combination
2019-03-11,Monday,Wiscasset ,Route 1,14064,Pass. Veh
2019-03-11,Monday,Wiscasset ,Route 1,310,SU Trucks
2019-03-11,Monday,Wiscasset ,Route 1,381,Combination
2019-03-11,Monday,York ,Route 1,5658,Pass. Veh
2019-03-11,Monday,York ,Route 1,124,SU Trucks
2019-03-11,Monday,York ,Route 1,52,Combination
2019-03-12,Tuesday,Auburn ,Veterans Bridge,34144,Pass. Veh
2019-03-12,Tuesday,Auburn ,Veterans Bridge,451,SU Trucks
2019-03-12,Tuesday,Auburn ,Veterans Bridge,254,Combination
2019-03-12,Tuesday,Bangor ,I-95,48296,Pass. Veh
2019-03-12,Tuesday,Bangor ,I-95,4288,SU Trucks
2019-03-12,Tuesday,Bangor ,I-95,2821,Combination
2019-03-12,Tuesday,Brewer ,I-395,31255,Pass. Veh
2019-03-12,Tuesday,Brewer ,I-395,1663,SU Trucks
2019-03-12,Tuesday,Brewer ,I-395,1336,Combination
2019-03-12,Tuesday,Brunswick ,I-295,40776,Pass. Veh
2019-03-12,Tuesday,Brunswick ,I-295,1331,SU Trucks
2019-03-12,Tuesday,Brunswick ,I-295,2909,Combination
2019-03-12,Tuesday,Carmel ,I-95 NB,8283,Pass. Veh
2019-03-12,Tuesday,Carmel ,I-95 NB,345,SU Trucks
2019-03-12,Tuesday,Carmel ,I-95 NB,1275,Combination
2019-03-12,Tuesday,Carmel ,I-95 SB,7960,Pass. Veh
2019-03-12,Tuesday,Carmel ,I-95 SB,625,SU Trucks
2019-03-12,Tuesday,Carmel ,I-95 SB,1491,Combination
2019-03-12,Tuesday,Freeport ,I-295,47961,Pass. Veh
2019-03-12,Tuesday,Freeport ,I-295,1296,SU Trucks
2019-03-12,Tuesday,Freeport ,I-295,2928,Combination
2019-03-12,Tuesday,Howland ,I-95 NB,3580,Pass. Veh
2019-03-12,Tuesday,Howland ,I-95 NB,125,SU Trucks
2019-03-12,Tuesday,Howland ,I-95 NB,577,Combination
2019-03-12,Tuesday,Howland ,I-95 SB,3633,Pass. Veh
2019-03-12,Tuesday,Howland ,I-95 SB,113,SU Trucks
2019-03-12,Tuesday,Howland ,I-95 SB,706,Combination
2019-03-12,Tuesday,Kittery ,I-95,51923,Pass. Veh
2019-03-12,Tuesday,Kittery ,I-95,2597,SU Trucks
2019-03-12,Tuesday,Kittery ,I-95,7124,Combination
2019-03-12,Tuesday,Portland ,1-295 1,45934,Pass. Veh
2019-03-12,Tuesday,Portland ,1-295 1,1831,SU Trucks
2019-03-12,Tuesday,Portland ,1-295 1,2014,Combination
2019-03-12,Tuesday,Portland ,I-295 2,67149,Pass. Veh
2019-03-12,Tuesday,Portland ,I-295 2,2824,SU Trucks
2019-03-12,Tuesday,Portland ,I-295 2,2554,Combination
