State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Maine,1/3/87,"2,988",12/27/86,"11,934","434,257",2.75
Maine,1/10/87,"4,542",1/3/87,"15,098","438,889",3.44
Maine,1/17/87,"4,323",1/10/87,"16,270","438,889",3.71
Maine,1/24/87,"3,553",1/17/87,"15,246","438,889",3.47
Maine,1/31/87,"2,357",1/24/87,"15,007","438,889",3.42
Maine,2/7/87,"2,431",1/31/87,"14,408","438,889",3.28
Maine,2/14/87,"2,226",2/7/87,"14,926","438,889",3.4
Maine,2/21/87,"2,048",2/14/87,"14,673","438,889",3.34
Maine,2/28/87,"2,217",2/21/87,"15,155","438,889",3.45
Maine,3/7/87,"1,854",2/28/87,"15,254","438,889",3.48
Maine,3/14/87,"1,827",3/7/87,"14,943","438,889",3.4
Maine,3/21/87,"1,908",3/14/87,"13,576","438,889",3.09
Maine,3/28/87,"2,204",3/21/87,"13,619","438,889",3.1
Maine,4/4/87,"2,456",3/28/87,"13,318","438,889",3.03
Maine,4/11/87,"2,593",4/4/87,"13,148","444,634",2.96
Maine,4/18/87,"3,544",4/11/87,"14,664","444,634",3.3
Maine,4/25/87,"3,288",4/18/87,"14,258","444,634",3.21
Maine,5/2/87,"2,046",4/25/87,"12,114","444,634",2.72
Maine,5/9/87,"1,904",5/2/87,"10,845","444,634",2.44
Maine,5/16/87,"1,540",5/9/87,"9,618","444,634",2.16
Maine,5/23/87,"1,608",5/16/87,"8,837","444,634",1.99
Maine,5/30/87,"1,299",5/23/87,"8,152","444,634",1.83
Maine,6/6/87,"1,464",5/30/87,"8,432","444,634",1.9
Maine,6/13/87,"1,515",6/6/87,"8,193","444,634",1.84
Maine,6/20/87,"1,748",6/13/87,"7,777","444,634",1.75
Maine,6/27/87,"2,005",6/20/87,"8,284","444,634",1.86
Maine,7/4/87,"1,543",6/27/87,"8,017","444,634",1.8
Maine,7/11/87,"2,131",7/4/87,"9,112","451,119",2.02
Maine,7/18/87,"3,107",7/11/87,"10,368","451,119",2.3
Maine,7/25/87,"4,040",7/18/87,"11,962","451,119",2.65
Maine,8/1/87,"2,180",7/25/87,"9,812","451,119",2.18
Maine,8/8/87,"1,383",8/1/87,"8,426","451,119",1.87
Maine,8/15/87,"1,469",8/8/87,"8,049","451,119",1.78
Maine,8/22/87,"1,309",8/15/87,"7,518","451,119",1.67
Maine,8/29/87,"1,246",8/22/87,"7,459","451,119",1.65
Maine,9/5/87,"1,301",8/29/87,"7,046","451,119",1.56
Maine,9/12/87,"1,116",9/5/87,"6,501","451,119",1.44
Maine,9/19/87,"1,428",9/12/87,"6,596","451,119",1.46
Maine,9/26/87,"1,120",9/19/87,"6,404","451,119",1.42
Maine,10/3/87,"1,065",9/26/87,"6,232","451,119",1.38
Maine,10/10/87,"1,126",10/3/87,"5,967","457,125",1.31
Maine,10/17/87,"1,082",10/10/87,"5,698","457,125",1.25
Maine,10/24/87,"1,365",10/17/87,"6,004","457,125",1.31
Maine,10/31/87,"1,327",10/24/87,"6,194","457,125",1.35
Maine,11/7/87,"1,535",10/31/87,"6,300","457,125",1.38
Maine,11/14/87,"1,501",11/7/87,"6,222","457,125",1.36
Maine,11/21/87,"1,796",11/14/87,"7,196","457,125",1.57
Maine,11/28/87,"1,304",11/21/87,"6,627","457,125",1.45
Maine,12/5/87,"2,126",11/28/87,"8,396","457,125",1.84
Maine,12/12/87,"2,307",12/5/87,"8,522","457,125",1.86
Maine,12/19/87,"1,976",12/12/87,"8,361","457,125",1.83
Maine,12/26/87,"2,222",12/19/87,"8,006","457,125",1.75
Maine,1/2/88,"2,857",12/26/87,"9,676","457,125",2.12
Maine,1/9/88,"5,102",1/2/88,"13,691","462,898",2.96
Maine,1/16/88,"3,605",1/9/88,"13,534","462,898",2.92
Maine,1/23/88,"2,090",1/16/88,"12,339","462,898",2.67
Maine,1/30/88,"2,034",1/23/88,"13,548","462,898",2.93
Maine,2/6/88,"1,709",1/30/88,"12,941","462,898",2.8
Maine,2/13/88,"1,855",2/6/88,"13,023","462,898",2.81
Maine,2/20/88,"1,402",2/13/88,"12,395","462,898",2.68
Maine,2/27/88,"1,910",2/20/88,"13,671","462,898",2.95
Maine,3/5/88,"1,960",2/27/88,"13,383","462,898",2.89
Maine,3/12/88,"1,814",3/5/88,"13,233","462,898",2.86
Maine,3/19/88,"1,699",3/12/88,"12,686","462,898",2.74
Maine,3/26/88,"1,649",3/19/88,"12,453","462,898",2.69
Maine,4/2/88,"2,256",3/26/88,"12,109","462,898",2.62
Maine,4/9/88,"1,953",4/2/88,"11,814","469,196",2.52
Maine,4/16/88,"1,761",4/9/88,"11,344","469,196",2.42
Maine,4/23/88,"1,532",4/16/88,"10,449","469,196",2.23
Maine,4/30/88,"1,617",4/23/88,"10,693","469,196",2.28
Maine,5/7/88,"1,733",4/30/88,"10,207","469,196",2.18
Maine,5/14/88,"1,425",5/7/88,"9,060","469,196",1.93
Maine,5/21/88,"1,535",5/14/88,"7,978","469,196",1.7
Maine,5/28/88,"1,290",5/21/88,"7,630","469,196",1.63
Maine,6/4/88,"1,138",5/28/88,"7,072","469,196",1.51
Maine,6/11/88,"1,275",6/4/88,"7,162","469,196",1.53
Maine,6/18/88,"2,031",6/11/88,"6,826","469,196",1.45
Maine,6/25/88,"1,546",6/18/88,"7,306","469,196",1.56
Maine,7/2/88,"1,405",6/25/88,"7,015","469,196",1.5
Maine,7/9/88,"1,676",7/2/88,"6,926","475,178",1.46
Maine,7/16/88,"2,786",7/9/88,"8,384","475,178",1.76
Maine,7/23/88,"3,732",7/16/88,"10,032","475,178",2.11
Maine,7/30/88,"3,364",7/23/88,"9,561","475,178",2.01
Maine,8/6/88,"1,637",7/30/88,"7,520","475,178",1.58
Maine,8/13/88,"1,396",8/6/88,"7,059","475,178",1.49
Maine,8/20/88,"1,319",8/13/88,"6,737","475,178",1.42
Maine,8/27/88,"1,153",8/20/88,"6,424","475,178",1.35
Maine,9/3/88,"1,130",8/27/88,"6,316","475,178",1.33
Maine,9/10/88,"1,163",9/3/88,"5,915","475,178",1.24
Maine,9/17/88,"1,472",9/10/88,"5,978","475,178",1.26
Maine,9/24/88,"1,088",9/17/88,"5,359","475,178",1.13
Maine,10/1/88,"1,104",9/24/88,"5,075","475,178",1.07
Maine,10/8/88,"1,233",10/1/88,"4,974","480,911",1.03
Maine,10/15/88,"1,105",10/8/88,"4,711","480,911",0.98
Maine,10/22/88,"1,395",10/15/88,"5,273","480,911",1.1
Maine,10/29/88,"1,432",10/22/88,"5,615","480,911",1.17
Maine,11/5/88,"1,609",10/29/88,"55,735","480,911",11.59
Maine,11/12/88,"1,836",11/5/88,"5,880","480,911",1.22
Maine,11/19/88,"1,923",11/12/88,"6,760","480,911",1.41
Maine,11/26/88,"1,462",11/19/88,"5,759","480,911",1.2
Maine,12/3/88,"2,324",11/26/88,"8,904","480,911",1.85
Maine,12/10/88,"2,480",12/3/88,"8,298","480,911",1.73
Maine,12/17/88,"2,577",12/10/88,"8,634","480,911",1.8
Maine,12/24/88,"2,628",12/17/88,"9,066","480,911",1.89
Maine,12/31/88,"2,542",12/24/88,"9,655","480,911",2.01
Maine,1/7/89,"4,550",12/31/88,"11,698","480,911",2.43
Maine,1/14/89,"3,859",1/7/89,"13,937","486,865",2.86
Maine,1/21/89,"3,417",1/14/89,"14,766","486,865",3.03
